name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
Waterwheel Falls and the Grand Canyon of the Tuolumne Trail,Yosemite National Park,Yosemite Valley,California,United States,7.1819,43934.982,1463.9544,7,point to point,2.0,4.5,10,2043,6,749,92,70,63,-0.7272421144459915,-1.8362218356000461,2.20570109476876,0.23914974273114986,2
The High Sierra Camp Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,7.131,73707.772,2424.9888,3,loop,2.0,5.0,10,2043,6,749,92,75,74,-0.6795758093806492,-1.911310308149215,2.71316160481752,-0.4996799302091444,2
"Mirror Lake, Snow Creek, and Upper Yosemite Falls Loop",Yosemite National Park,Yosemite Valley,California,United States,7.0948,25427.572,1427.988,5,loop,2.0,4.5,11,2043,6,749,92,60,63,-0.9911898478827881,-1.3803772001965402,1.262283246627113,0.09131658925169017,2
Glacier Point to Union Point,Yosemite National Park,Yosemite Valley,California,United States,7.013,5954.558,316.992,3,out and back,2.0,5.0,29,2043,6,749,92,19,26,-1.6028793192254378,-0.8205939523216953,-1.1934483259326956,1.5407444613000019,1
Lembert Dome from Tuolomne Meadows Lodge Road,Yosemite National Park,Lee Vining,California,United States,6.9667,2896.812,217.932,3,out and back,2.0,4.5,31,2043,6,749,92,9,48,-1.5278984174626158,-0.8590472809069484,-1.2863385544863044,1.0405271443253106,1
"Dewey, Crocker, and Stanford Point via the Pohono Trail",Yosemite National Park,Yosemite Valley,California,United States,6.9249,14966.862,586.74,3,out and back,2.0,4.5,15,2043,6,749,92,58,65,-1.3619192798291282,-0.5845045517126635,0.1589237016402843,-0.3924196714914577,1
Alder Creek Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,6.8985,25427.572,723.9,3,loop,2.0,4.0,17,2043,6,749,92,46,59,-1.2333313303946534,-1.0576764472525193,0.04306784856134584,-0.07587402745213863,1
Nelson Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,6.897,17863.674,781.812,3,out and back,,5.0,18,2043,6,749,92,66,47,-1.4088070675042155,-0.5858876152395155,0.32547986018491326,0.06808189707592313,1
Little Nellie Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,6.7505,8851.37,283.7688,3,out and back,1.0,3.5,12,2043,6,749,92,79,110,-1.2544884263974516,-0.1428875588157862,0.613386795738785,-2.3193612609160614,1
Glacier Point to Half Dome,Yosemite National Park,Yosemite Valley,California,United States,6.7449,32669.602,1829.7144,7,out and back,3.0,4.5,17,2043,6,749,92,80,26,-0.8314115732726804,-1.8672654948669272,1.9181974951259642,1.0212250548057922,2
Cathedral Lakes to Clouds Rest,Yosemite National Park,Yosemite Valley,California,United States,6.7426,36853.886,1099.7184,5,point to point,2.0,4.5,7,2043,6,749,92,42,64,-0.9588905724737116,-1.6469920617576204,0.9547239003075547,0.39222458406649985,2
Tamarack Flat to El Capitan,Yosemite National Park,Yosemite Valley,California,United States,6.6745,27358.78,1120.7496,3,out and back,2.0,4.5,18,2043,6,749,92,58,64,-1.1826602641021324,-1.010764128443978,0.6586742036552804,-0.2709936703931393,1
North Dome Trail via Upper Yosemite Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,6.6282,22852.628,1714.8048,7,out and back,1.0,4.5,10,2043,6,749,92,64,37,-0.8654108143061245,-1.8457471561984846,1.5356003101687203,1.033077308229964,2
Clark Range Circuit,Yosemite National Park,Oakhurst,California,United States,6.4692,70650.026,2604.8208,5,loop,2.0,4.5,5,2043,6,749,92,75,63,-0.48161771880215176,-2.4290573753746045,2.9319304021292587,-0.017950805838877107,2
Tunnel View to Dewey Point,Yosemite National Park,Yosemite Valley,California,United States,6.4296,14966.862,1066.8,5,out and back,2.0,4.5,14,2043,6,749,92,9,37,-1.1478872806197682,-1.8162843029103128,-0.3463412649939735,1.7583887545413885,1
Vogelsang Camp to Merced Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,6.3417,23496.364,979.932,5,out and back,2.0,5.0,5,2043,6,749,92,79,63,-1.1323564559477104,-0.8932759100724545,1.3536962419688243,-0.28872932836441934,2
Crane Flat Lookout Trail,Yosemite National Park,Yosemite Valley,California,United States,6.1328,4506.152,111.8616,1,out and back,2.0,4.5,9,2043,6,749,92,66,87,-1.597369148515464,0.18809229518450937,-0.34851189039425806,-1.5811640944973784,1
Old Big Oak Flat Access Road,Yosemite National Park,Yosemite Valley,California,United States,6.0385,6598.294,326.7456,5,out and back,,3.5,14,2043,6,749,92,20,27,-1.2793890007272688,-1.4943644212168414,-1.0536967108503377,1.3861524314067928,1
Mount Lyell,Yosemite National Park,Lee Vining,California,United States,6.0067,42486.576,1454.8104,7,out and back,2.0,5.0,7,2043,6,749,92,24,83,-0.6713924718073057,-2.265110432304803,1.6872619089000764,0.7855628862508189,2
Merced Lake to Sunrise Camp Trail,Yosemite National Park,Yosemite Valley,California,United States,5.9358,19473.014,923.8488,5,point to point,2.0,5.0,3,2043,6,749,92,61,47,-1.1895490814895255,-1.1184101606511399,0.7233474349832334,0.4758058867103898,1
Merced Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,5.9322,55361.296,2816.9616,7,loop,2.0,5.0,3,2043,6,749,92,28,37,-0.45396303232001695,-3.1971867019786004,2.162309149546896,2.104830406647787,2
Beehive Meadow Trail,Yosemite National Park,Groveland,California,United States,5.9282,16254.334,857.7072,3,out and back,2.0,4.5,3,2043,6,749,92,46,48,-1.313568995512371,-1.0227102002914956,-0.14125071967622424,0.2935541911595292,1
The Clark Range and Red Peak Pass Trail,Yosemite National Park,Yosemite Valley,California,United States,5.8732,74029.64,2601.7728,5,loop,2.0,5.0,3,2043,6,749,92,107,63,-0.5193700336088674,-2.0389513180974,3.603286974571105,-0.5864101705372261,2
Yosemite Falls Trail to North Dome,Yosemite National Park,Yosemite Valley,California,United States,5.8577,22047.958,1665.732,5,out and back,,5.0,6,2043,6,749,92,31,37,-1.035705295822566,-1.8762986235366805,0.5535040394613256,1.4920526073565494,2
Lukens Lake from White Wolf,Yosemite National Park,Yosemite Valley,California,United States,5.832,7885.766,133.8072,1,out and back,2.0,4.5,10,2043,6,749,92,37,10,-1.7559560040358702,-0.5392502725596252,-1.7620109151978507,1.0159530360220854,1
Vogelsang Lake and Volesang Pass Trail,Yosemite National Park,Yosemite Valley,California,United States,5.8088,28163.45,687.9336,3,out and back,2.0,5.0,11,2043,6,749,92,66,65,-1.2903236899509474,-0.707395111291486,0.624244718752754,-0.442752671382709,1
"Mist Trail, Cloud Rest, May Lake and Snow Creek Loop",Yosemite National Park,Yosemite Valley,California,United States,5.7274,58258.108,3060.8016,5,loop,3.0,4.5,7,2043,6,749,92,66,53,-0.4785794431610159,-2.634278051949037,2.6754618220080104,0.46782762825588503,2
Dewey Point Trail,Yosemite National Park,Yosemite Valley,California,United States,5.6176,7563.898,154.8384,3,out and back,2.0,4.0,9,2043,6,749,92,30,48,-1.443207563483941,-0.8802854199207535,-1.061900768434872,0.38381507958658606,1
Mariposa Grove to Wawona Lodge,Yosemite National Park,Fish Camp,California,United States,5.5985,17863.674,675.7416,3,out and back,,4.5,8,2043,6,749,92,42,48,-1.333041883038606,-1.0223413428885684,-0.291191909094477,0.3497970030401609,1
"Snow Creek Falls, Tenaya Lake, Yosemite Valley via JMT",Yosemite National Park,Yosemite Valley,California,United States,5.5529,40394.434,1997.964,7,loop,2.0,4.0,5,2043,6,749,92,79,106,-0.4573240019543236,-1.9463919717748048,2.9881108597022816,-1.1662625466589926,2
Mono Meadow Trail,Yosemite National Park,Yosemite Valley,California,United States,5.5203,9334.172,376.7328,3,out and back,2.0,4.0,18,2043,6,749,92,66,76,-1.3442277694920783,-0.4446910652078164,0.07693145391891243,-1.0523523137576731,1
Lookout Point Trail,Yosemite National Park,Groveland,California,United States,5.4983,4345.218,164.8968,3,out and back,1.0,4.5,11,2043,6,749,92,42,10,-1.6188702948993365,-0.7507825489059617,-1.2962244369000715,1.2334017509278778,1
"Porcupine Creek to Indian Rock, North Dome, and Columbia Rock via Tioga Pass Road",Yosemite National Park,Yosemite Valley,California,United States,5.473,20438.618,587.9592,5,point to point,2.0,5.0,8,2043,6,749,92,64,52,-1.2319429065465048,-0.9458167368175305,0.6524968515112375,0.22573342545835967,1
"Upper Yosemite Falls, North Dome, Indian Rock, Snow Creek",Yosemite National Park,Yosemite Valley,California,United States,5.4417,27036.912,1702.9176,7,point to point,2.0,4.5,13,2043,6,749,92,47,52,-0.7688093532068119,-2.1103542535639095,1.459590177516592,0.979292898362332,2
Young Lakes via Dog Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,5.4354,22208.892,858.9264,5,out and back,2.0,4.5,7,2043,6,749,92,79,53,-1.1302789925590906,-1.007252985240719,1.0106408439881491,-0.20552950302330075,1
